Site and link	Questions	Answers	Category	Comments
Homepage https://www.utn.de/en/ 				
	What is UTN?	UTN stands for University of Technology Nuremberg, founded in 2021, it is the first new foundation of a public university in Bavaria since 1978		
	Where can I find the admission information?	All important information about admission requirements, deadlines, and necessary documents can be found on the respective program pages. 	UTN study programme	
	Where can I find the application deadline information?	All important information about admission requirements, deadlines, and necessary documents can be found on the respective program pages.	UTN study programme	
	Where are the requirements for admission listed?	All important information about admission requirements, deadlines, and necessary documents can be found on the respective program pages. 	UTN study programme	
	When do the online info sessions begin?	Our online info sessions start in February. 	UTN study programme	
	What topics will be covered during the online info sessions?	Learn all about our Master’s programs AI and Robotics and Human and Artificial Intelligence through our online sessions.	UTN study programme	
	What should I do if I have questions about the degree programs or my application?	Click the Join our Online-Info-Sessions button for more information.	UTN study programme	
	What is the name of the new Master’s program launching in the winter semester of 2025/26?	In the winter semester of 2025/26, the new Master’s program 'Human and Artificial Intelligence' launches. 	UTN study programme	
	Which fields does the “Human and Artificial Intelligence” program combine?	The Program combines Computer Science, Philosophy, and Psychology—opening new paths for you in research and practice. 	UTN study programme	
	What questions does the “Human and Artificial Intelligence” program seek to address?	How do thoughts emerge? And how does a machine think?	UTN study programme	
	Can I listen to UTN content in audio format?	Now you can listen to us too on our new Podcast! 	UTN Information	
	How often will new episodes of UTN Explorer be released?	From now on we will publish new podcast episodes every month.	UTN Information	
	In which language is the UTN Explorer podcast available?	The podcast is available in German. 	UTN Information	
	Where can I find the contact information for Technische Universität Nürnberg?	You can find the contact information by clicking the ‘Contact’ button at the bottom of the homepage.	UTN Information	
	Where can I find the imprint for Technische Universität Nürnberg?	You can find the imprint by clicking the ‘Imprint’ button at the bottom of the homepage.	UTN Information	
	Where can I find the privacy information for Technische Universität Nürnberg?	You can find the privacy information by clicking the ‘Privacy’ button at the bottom of the homepage	UTN Information	
	Where can I find the whistleblower information for Technische Universität Nürnberg?	You can find the whistleblower information by clicking the ‘Whistleblower’ button at the bottom of the homepage.	UTN Information	
	Where can I find accessibility information for Technische Universität Nürnberg?	You can find accessibility information by clicking the ‘Accessibility’ button at the bottom of the homepage.	UTN Information	
	Where can I follow Technische Universität Nürnberg on social media?	You can find social media links by clicking the icons at the bottom of the homepage.	UTN Information	
	Where can I find the page about the Organisation of UTN?	You can find the Organisation page by hovering over the ‘About Us’ tab on the homepage and selecting ‘Organisation’ from the dropdown.	UTN Information	
	Where can I learn more about Experience Cubes?	You can learn more about Experience Cubes by hovering over the ‘About Us’ tab on the homepage and selecting ‘Experience Cubes’ from the dropdown	UTN Information	
	Where can I find information about the Milestones of UTN?	You can find information about the Milestones of UTN by hovering over the ‘About Us’ tab on the homepage and selecting ‘Milestones’ from the dropdown.	UTN Information	
	How can I find information about the Construction Progress of UTN?	You can locate details on the Construction Progress by hovering over the ‘About Us’ tab on the homepage and selecting ‘Construction Progress’ from the dropdown.	UTN Information	
	Where can I find the page about the Temporary Office Building?	You can find the page about the Temporary Office Building by hovering over the ‘About Us’ tab on the homepage and selecting ‘Temporary Office Building’ from the dropdown.	UTN Information	
	Where can I read about UTN’s Sustainability efforts?	You can read about UTN’s Sustainability efforts by hovering over the ‘About Us’ tab on the homepage and selecting ‘Sustainability’ from the dropdown.	UTN Information	
	Where can I find information about UTN’s New Work Concept?	You can find information about UTN’s New Work Concept by hovering over the ‘About Us’ tab on the homepage and selecting ‘New Work Concept’ from the dropdown.	UTN Information	
	What is UTN's New Work Concept about?	You can find information about UTN’s New Work Concept by hovering over the ‘About Us’ tab on the homepage and selecting ‘New Work Concept’ from the dropdown.	UTN Information	
	Where can I find UTN’s Legal Documents?	You can find UTN’s Legal Documents by hovering over the ‘About Us’ tab on the homepage and selecting ‘Legal Documents’ from the dropdown	UTN Information	
	Where can I learn about Diversity, Equity, and Inclusion at UTN?	You can learn about Diversity, Equity, and Inclusion at UTN by hovering over the ‘About Us’ tab on the homepage and selecting ‘Diversity, Equity and Inclusion’ from the dropdown.	UTN Information	
	Where can I find Visitor Information for UTN?	You can find Visitor Information by hovering over the ‘About Us’ tab on the homepage and selecting ‘Visitor Information’ from the dropdown.	UTN Information	
	Where can I find information about AI & Robotics (M.Sc.)?	"You can find information about AI & Robotics (M.Sc.) by hovering over the ‘Study’ tab on the homepage and selecting ‘AI & Robotics (M.Sc.)’ from the dropdown."	UTN Information	
	Where can I find information about Human and Artificial Intelligence (M.Sc. / M.A.)?	"You can find information about Human and Artificial Intelligence (M.Sc. / M.A.) by hovering over the ‘Study’ tab on the homepage and selecting ‘Human and Artificial Intelligence (M.Sc. / M.A.)’ from the dropdown."	UTN Information	
	Where can I find the Learning Design page?	"You can find the Learning Design page by hovering over the ‘Study’ tab on the homepage and selecting ‘Learning Design’ from the dropdown."	UTN Information	
	Where can I find the Application to study information?	"You can find the Application to study information by hovering over the ‘Study’ tab on the homepage and selecting ‘Application to study’ from the dropdown."	UTN Information	
	Where can I find information about Enrollment?	"You can find information about Enrollment by hovering over the ‘Study’ tab on the homepage and selecting ‘Enrollment’ from the dropdown."	UTN Information	
	Where can I find Information for Internationals?	"You can find Information for Internationals by hovering over the ‘Study’ tab on the homepage and selecting ‘Information for Internationals’ from the dropdown."	UTN Information	
	Where can I find the FAQ page?	"You can find the FAQ page by hovering over the ‘Study’ tab on the homepage and selecting ‘FAQ’ from the dropdown."	UTN Information	
	Where can I Contact StaRs?	"You can contact StaRs by hovering over the ‘Study’ tab on the homepage and selecting ‘Contact StaRs’ from the dropdown."	UTN Information	
	Where can I find information about Department Computer Science & Artificial Intelligence?	You can find information about Department Computer Science & Artificial Intelligence by hovering over the ‘Departments’ tab on the homepage and selecting ‘Department Computer Science & Artificial Intelligence’ from the dropdown."	UTN Information	
	Where can I find information about Department Liberal Arts & Social Sciences?	"You can find information about Department Liberal Arts & Social Sciences by hovering over the ‘Departments’ tab on the homepage and selecting ‘Department Liberal Arts & Social Sciences’ from the dropdown."	UTN Information	
	Where can I find information about Research and Transfer Service?	"You can find information about Research and Transfer Service by hovering over the ‘Research’ tab on the homepage and selecting ‘Research and Transfer Service’ from the dropdown."	UTN Information	
	Where can I find information about Doctoral Research at UTN?	"You can find information about Doctoral Research at UTN by hovering over the ‘Research’ tab on the homepage and selecting ‘Doctoral Research at UTN’ from the dropdown."	UTN Information	
	Where can I find information about AgileTeams@UTN?	"You can find information about AgileTeams@UTN by hovering over the ‘Research’ tab on the homepage and selecting ‘AgileTeams@UTN’ from the dropdown."	UTN Information	
	Where can I find information about Jobs for Professors?	You can find information about Jobs for Professors by hovering over the ‘Career’ tab on the homepage and selecting ‘Jobs for Professors’ from the dropdown.	UTN Information	
	Where can I find information about Jobs for Employees?	"You can find information about Jobs for Employees by hovering over the ‘Career’ tab on the homepage and selecting ‘Jobs for Employees’ from the dropdown."	UTN Information	
	Where can I find information about Jobs for Doctoral Researchers?	"You can find information about Jobs for Doctoral Researchers by hovering over the ‘Career’ tab on the homepage and selecting ‘Jobs for Doctoral Researchers’ from the dropdown."	UTN Information	
	Where can I find information about Jobs for Students?	"You can find information about Jobs for Students by hovering over the ‘Career’ tab on the homepage and selecting ‘Jobs for Students’ from the dropdown."	UTN Information	
Apply now page https://www.utn.de/en/study/application-to-study/#collapse_0 				
	Where can I check if i meet the requirements?	You can find the admission requirements as a list of all required documents on the respective pages of our Master’s programs ‘AI & Robotics (M.Sc.)’ and ‘Human and Artificial Intelligence (M.Sc. / M.A.)’	UTN study programme	
	Where can I find the admission requirements for the Master’s programs?	You can find the admission requirements as a list of all required documents on the respective pages of our Master’s programs ‘AI & Robotics (M.Sc.)’ and ‘Human and Artificial Intelligence (M.Sc. / M.A.)’	UTN study programme	
	What should I do if I meet the requirements to apply?	Then register on our application portal UTNexus and additionally with uni-assist e.V! Did you obtain your university degree in Germany or the EUEEA? In this case, you can omit the uni-assist e.V. application.	UTN study programme	
	How do I register on UTNexus?	You need a valid email address to register as your login credentials will be sent to you by email. We charge no fees for registration and start your application. Please upload all the documents in good quality. We can only evaluate what we can read! Copies or digitally created versions are accepted. Original documents can be presented in person upon enrolment if required."	UTN study programme	
	Are there any fees for registering on UTNexus?	We charge no fees for registration and start your application.	UTN study programme	
	How will I receive updates about my application progress?	"All correspondences and updates about the application progress are sent via UTNexus."	UTN study programme	
	What is uni-assist?	"The work and service center for international student applications: uni-assist e.V verifies all international applications for UTN. If you completed your previous university degree in Germany or the EUEEA you do not need the uni-assist application. Otherwise you do."	UTN study programme	
	who needs to apply through uni-assist?	"The work and service center for international student applications: uni-assist e.V verifies all international applications for UTN. If you completed your previous university degree in Germany or the EUEEA you do not need the uni-assist application. Otherwise you do."	UTN study programme	
	Do I need to apply through uni-assist e.V. if I have a degree from Germany or the EUEEA?	"Did you obtain your university degree in Germany or the EUEEA? In this case, you can omit the uni-assist e.V. application."	UTN study programme	
